211920,313,1,בן גוריון , ,"-453,100","-451,400","-466,700",,,,,,,,,,,,,,,,,,,,,,,,,,
211924,313,1,בן גוריון שכפול , ,"-9,200","-12,100","-12,200",,,,,,,,,,,,,,,,,,,,,,,,,,
211926,313,1,בן גוריון , ,-700,-500,-100,,,,,,,,,,,,,,,,,,,,,,,,,,
211927,313,1,בן גוריון , ,"-21,800","-28,100","-29,600",,,,,,,,,,,,,,,,,,,,,,,,,,
212220,313,1,בן צבי חוץ , ,"-5,300","-6,900","-26,100",,,,,,,,,,,,,,,,,,,,,,,,,,
212920,313,1,בן צבי , ,"-407,800","-407,900","-424,900",,,,,,,,,,,,,,,,,,,,,,,,,,
212922,313,1,בן צבי , ,"-109,000","-106,900","-111,700",,,,,,,,,,,,,,,,,,,,,,,,,,
212923,313,1,בן צבי הרשאות , ,"-4,600",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
212924,313,1,בןצבי-שכפול , ,"-8,500","-11,300","-10,900",,,,,,,,,,,,,,,,,,,,,,,,,,
212926,313,1,בן צבי , ,"-1,100","-2,100",-800,,,,,,,,,,,,,,,,,,,,,,,,,,
212927,313,1,בן צבי , ,"-15,100","-20,400","-18,300",,,,,,,,,,,,,,,,,,,,,,,,,,
213492,313,1,הדרים מילת , ,"-22,300","-29,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
213920,313,1,הדרים , ,"-167,900","-154,200","-144,100",,,,,,,,,,,,,,,,,,,,,,,,,,
213923,313,1,הרשאות , ,"-2,600",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
213924,313,1,הדרים-שכפול , ,"-3,100","-4,000","-4,100",,,,,,,,,,,,,,,,,,,,,,,,,,
213926,313,1,עולים , ,"-2,300",-800,-400,,,,,,,,,,,,,,,,,,,,,,,,,,
213927,313,1,הדרים-חומרים , ,"-5,400","-7,000","-7,500",,,,,,,,,,,,,,,,,,,,,,,,,,
214220,313,1,השיטה -תל חוץ , ,"-7,700","-6,200","-21,900",,,,,,,,,,,,,,,,,,,,,,,,,,
214640,313,1,בית כנסת הספרדי שכ' חבצלת, ,0,0,"-1,600",,,,,,,,,,,,,,,,,,,,,,,,,,
214920,313,1,השיטה , ,"-208,800","-203,100","-187,700",,,,,,,,,,,,,,,,,,,,,,,,,,
214924,313,1,השיטה , ,"-4,400","-6,000","-5,400",,,,,,,,,,,,,,,,,,,,,,,,,,
214927,313,1,השיטה , ,"-10,300","-14,200","-12,600",,,,,,,,,,,,,,,,,,,,,,,,,,
215640,313,1,שכר דירה , ,0,0,"-6,000",,,,,,,,,,,,,,,,,,,,,,,,,,
215920,313,1,ויצמן , ,"-407,900","-397,800","-440,800",,,,,,,,,,,,,,,,,,,,,,,,,,
215922,313,1,ויצמן , ,"-24,600","-32,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
215923,313,1,ויצמן הרשאות , ,"-4,600",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
215924,313,1,ויצמן שכפול , ,"-9,000","-11,700","-11,500",,,,,,,,,,,,,,,,,,,,,,,,,,
215926,313,1,ויצמן עולים , ,0,-800,-700,,,,,,,,,,,,,,,,,,,,,,,,,,
215927,313,1,ויצמן חומרים , ,"-18,500","-23,900","-24,900",,,,,,,,,,,,,,,,,,,,,,,,,,
216920,313,1,יבנאלי , ,"-302,400","-300,000","-337,000",,,,,,,,,,,,,,,,,,,,,,,,,,
216922,313,1,מ חינוך סיעות צמודות , ,"-11,800","-3,600","-68,600",,,,,,,,,,,,,,,,,,,,,,,,,,
216923,313,1,יבניאלי הרשאות , ,"-4,600",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
216924,313,1,יבנאלי שכפול , ,"-6,300","-7,900","-8,800",,,,,,,,,,,,,,,,,,,,,,,,,,
216926,313,1,יבנאלי , ,"-1,000","-1,400","-1,300",,,,,,,,,,,,,,,,,,,,,,,,,,
216927,313,1,יבנאלי , ,"-11,500","-14,800","-15,600",,,,,,,,,,,,,,,,,,,,,,,,,,
217220,313,1,"בה""ס סמילנסקי ", ,"-8,800","-11,400","-28,400",,,,,,,,,,,,,,,,,,,,,,,,,,
